CU_NAME,TOTAL ASSETS,TOTAL AMOUNT OF SHARES AND DEPOSITS,NO OF MEMBERS,Money Market (Amount),Number of Used Vehicle Loans,Amount of Total Share Draft,Deliquent Credit card loans (Amount) 0-180,Total number of loans and leases,Total amount of loans and leases,TOTAL AMOUNT OF SHARES,Amount of new vehicle loans,Total Number of money market shares,Amount of Used Vehicle Loans,Number of Total Share Draft,Number of new Vehicle loans,Deliquent Credit card loans (Amount) 180+,Year,Quarter
State Credit Union average,140728085.3,119654064.3,11214,23185751.87,1413.690909,14507179.69,79489.96727,6524.610909,92071784.56,104629061.3,10997427,1127.585455,17963614.41,6236.625455,585.1272727,6356.68,2019,4
Peer Credit Union average,1861939434,1556699609,132323,358123520.4,19330.96989,234685880.5,2102745.903,79710.07448,1346722033,1350828255,174201051.2,10074.6149,254351837.2,81854.65293,8421.824089,64046.09984,2019,4
Credit union,3704742856,3054355570,212865,483342724,47803,115307645,4214803,150867,3345142778,2267868954,405512296,14171,680755220,112601,21284,450898,2019,3
State Credit Union average,174872047.1,148820852.2,14480,29263766.35,1999.623239,21223992.83,131689.581,8460.34507,118489658.7,128088649.8,15092223.36,1452.584507,24926546.88,8298.795775,801.1408451,6584.742958,2019,3
Peer Credit Union average,1805464150,1506720276,131481,336825797.9,19338.38675,226837899.7,1946407.186,79306.67026,1311920930,1302567450,175301494.4,9746.027735,254458157.8,80565.39908,8442.70416,58784.83821,2019,3
Credit union,3557777979,3092655869,210459,496357024,46810,135706447,3570572,147230,3093923646,2270653318,404830210,14311,667110750,113287,21242,357315,2019,2
State Credit Union average,171838620.6,146976636.5,14124,28682453.62,1930.153025,21409363.99,121868.8292,8183.231317,114279561.4,126070412.8,14881675.47,1436.690391,24147537.56,8114.914591,783.772242,5672.690391,2019,2
Peer Credit Union average,1762835042,1472555786,127009,327307407.6,18217.6521,203251430.5,1725158.985,75755.01942,1263296416,1274675480,171091134.4,9044.639159,239983668.7,67395.4466,8225.71521,53670.66828,2019,2
Credit union,3538446280,3044568320,208540,507806737,45871,131753450,3953255,144493,3020557344,2147281188,407185290,14535,651643564,114451,21313,303903,2019,1
State Credit Union average,164591493.6,140921368.5,13345,27707920.38,1796.705674,21950397.06,115140.5106,7676.851064,107154339.4,120708374,14323357.34,1410.379433,22456516.63,7765.014184,745.0177305,5325.620567,2019,1
Peer Credit Union average,1707498155,1431357956,125428,307100020.6,18621.71885,200884915.9,1691342.506,75514.90096,1227288900,1239420230,169505744.3,8860.678914,245323392.8,67261.34345,8081.940895,61996.82588,2019,1
Credit union,3373518881,2835426526,207692,506042090,46187,117565139,4657948,144658,3023058463,1937545437,428891885,14825,664047513,115845,21929,435211,2018,4
State Credit Union average,163615217.6,139588724.5,13955,28233104.27,1840.312281,20704266.49,138248.5614,8022.22807,110849853.4,119154905.9,14728105.99,1419.698246,22801551.92,8551.838596,755.7473684,5654.164912,2018,4
Peer Credit Union average,1545734423,1305541036,113928,308389613,17807.23937,194548869.1,1085623.918,68266.02677,1131951088,1141442483,164861905.9,8572.206299,232868162.2,68076.31024,7868.411024,58632.54488,2018,4
Credit union,3274837512,2651443066,205484,508958837,46039,111377627,4506892,143727,2968361174,1768671136,437951402,15158,670357157,114138,22071,458554,2018,3
State Credit Union average,158956073.2,134722333.6,13642,27261808.05,1788.541516,19696080.6,128317.2708,7786.722022,106312175.7,115490216.4,13431541.62,1402.34296,22041251.41,8379.519856,692.9133574,6130.537906,2018,3
Peer Credit Union average,1669971026,1390857574,124901,324104372.7,18424.59016,192621151.2,1773932.184,75123.95082,1217930660,1217836579,169133704.6,9094.404918,239917155.2,66574.69344,8089.640984,53816.65902,2018,3
Credit union,3347268046,2673687388,201952,541317633,44785,120015052,3885303,140922,2864299424,1739453839,411554093,15851,637322088,112671,21419,360114,2018,2
State Credit Union average,159062959.2,135885351.8,13574,27586448.92,1784.719424,21302402.69,104522.2158,7599.068345,103890011.9,117149507.7,13615738.51,1411.183453,21995266.37,7771.068345,705.881295,5486.899281,2018,2
Peer Credit Union average,1575592310,1316655133,118274,302211968.4,17325.15214,187696562,1478373.575,70574.29952,1138231012,1156712355,159520107.3,8383.568938,226267554.6,62792.66403,7616.500792,56591.76228,2018,2
Credit union,3123097143,2620090055,200743,550951957,43433,117416152,3899988,138179,2791174722,1679245113,400650809,16377,614820745,111165,20998,390824,2018,1
State Credit Union average,145577608.9,125354737.9,12090,25549495.42,1470.109929,18114112.96,97772.98582,6719.797872,91112373.92,107533471.4,10590054.26,1306.294326,18322561.47,6927.219858,555.8085106,5247.528369,2018,1
Peer Credit Union average,1658616901,1398044024,122533,339671357.1,17640.47735,197918842.7,1512632.392,72468.27994,1168572683,1232586198,160740883,9093.867314,227488013,65717.01133,7703.640777,60446.61327,2018,1
Credit union,3038784663,2539120689,194798,533027966,42629,107811163,3872655,135382,2734287458,1610245837,398070423,17384,605661390,108782,20865,478637,2017,4
State Credit Union average,149171930.9,127425957.1,12853,27172125.12,1577.291513,18204396.42,134856.8155,7253.752768,96509690.59,110035909.7,11796882.15,1393.483395,18935876.06,7252.531365,620.095941,7559.741697,2017,4
Peer Credit Union average,1603815864,1335419734,119389,330040835.8,17395.26508,182754014.2,1694440.121,72011.08889,1140978703,1175966334,158133762.3,8888.455556,222000316.9,63949.52381,7565.457143,54503.81429,2017,4
Credit union,2989190960,2486296418,192659,541981516,41838,103137131,3481187,117062,2666570365,1594279089,390949021,18170,602376712,108035,20626,426073,2017,3
State Credit Union average,135092657,116456273,12241,22042939.63,1538.964413,16948485.41,115289.8541,6465.302491,88484272.05,99606764.26,10668025.44,725.0854093,18221643.99,6684.775801,560.4590747,6894.686833,2017,3
Peer Credit Union average,1570143452,1312776372,117002,325725242.9,16848.18471,179241326.9,1531199.005,70198.6449,1110131242,1153477452,151414359.2,8617.66242,214075939.5,62750.06529,7303.671975,55521.1242,2017,3
Credit union,3050071279,2462111760,189879,559959577,40919,109521520,3127476,131811,2583757493,1716045185,375828604,25047,586049221,107557,20118,253381,2017,2
State Credit Union average,127587338.7,111304113.5,11421,21197244.59,1455.003663,16877519.38,95859.95238,6174.417582,81438533.44,96460590.55,10203436.26,737.8351648,17055323.98,6191.684982,543.1098901,5127.278388,2017,2
Peer Credit Union average,1534182512,1291174877,115338,324761070.6,16763.6258,178565694.2,1308885.395,68400.27866,1070728907,1135047833,145819696.1,8680.197452,212402616.2,61034.97293,7001.805732,47526.38376,2017,2
Credit union,2836079124,2407048458,184289,560685109,38970,116894272,2936835,127423,2538602806,1704690927,351573040,24952,552112464,105386,19336,456663,2017,1
State Credit Union average,123387211.5,106329283.1,10358,21197921.34,1048.869718,13717262.38,59940.7993,5429.221831,71439192.58,92020311.88,7601410.271,1087.651408,12603269.51,5795.820423,425.0598592,6127.369718,2017,1
Peer Credit Union average,1452188330,1219826874,108563,287346376.3,15486.31922,168257621.9,1161838.764,64888.0342,998821172.6,1068948210,139710692.5,7779.644951,195900197.9,57218.46743,6734.485342,44286.9886,2017,1
Credit union,2759603729,2293921519,181861,527387056,37672,109221395,3095899,124544,2530091920,1583908548,338659264,24708,526087500,104268,18981,431628,2016,4
State Credit Union average,139262746.8,120737937.8,12348,24927168.02,1489.102662,17289602.13,108957.1331,7258.346008,89984662.76,102705165.4,10380485.21,1457.711027,17231385.05,7055.8327,573.1634981,5369.893536,2016,4
Peer Credit Union average,1464008779,1225668038,110962,311042348.7,15766.05939,164477930.8,1340658.072,65958.08989,1018776164,1075750328,138682055,8493.719101,197222329.5,59034.57143,6819.869984,44153.95827,2016,4
Credit union,2734884999,2205474461,178216,509803849,37132,104503185,2854688,122660,2501834934,1536052086,336035763,24471,517873437,101858,19033,330247,2016,3
State Credit Union average,127256508.7,108954263,11225,21628907.54,1263.566176,14032436.41,88540.90809,6242.205882,78920346.88,92916506.21,8051385.86,1319.908088,14650160.8,6365.602941,458.3933824,4799.948529,2016,3
Peer Credit Union average,1433727803,1200670358,109939,302918058.8,15444.94992,160530105.1,1197309.625,64838.0937,978112377.6,1052983810,127945494.5,8631.491115,190926620.3,58616.03554,6388.019386,37683.18901,2016,3
